RAJ2000,DEJ2000,zph,zsp,LBr,LBi,LTr,LTi,Ngal,NR200
196.46155,30.90484,0.197,11.12,13.68,104.4,125.4,45,57,
151.6674,21.67075,0.186,8.87,11.5,58.6,74.1,32,45,
241.41842,16.42929,0.138,9.52,11.74,52.7,65.5,30,35,
200.28973,64.55015,0.235,0.23338,12.54,15.4,48.7,60.9,27,27
218.59231,-2.54642,0.294,0.29053,18.43,22.52,53.4,65.5,19,19
236.11886,51.44833,0.167,11.28,13.84,60,74,31,36,
232.66275,3.49402,0.111,0.08649,13.31,16.58,48.2,59.9,24,25
149.33627,9.88122,0.27,0.28035,8.69,10.83,50.5,61.8,31,34
176.15333,67.40587,0.122,0.11612,8.62,10.62,90,111.7,43,62
170.39943,48.04799,0.108,0.11171,7.62,9.22,66.6,83.2,39,55
207.50816,19.8133,0.297,7.38,9.09,58.7,73.8,30,36,
118.17354,33.95,0.273,0.27708,12.43,15.43,34.3,42.4,22,22
170.62088,46.65215,0.3,0.31957,8.63,10.88,50.7,63,25,27
176.0847,10.52648,0.289,0.27779,9.82,11.75,51.3,62.6,23,25
172.44537,23.8208,0.14,9.08,11.25,95.6,117.5,40,58,
247.00953,46.59765,0.219,0.21716,11.29,13.94,56.3,69.9,26,32
148.64644,10.88053,0.289,0.2964,8.09,10.11,53.6,66.2,23,23
196.17618,40.04501,0.267,12.08,14.86,65.6,81.9,29,35,
197.73478,21.96572,0.275,13.41,17,36.3,45.7,19,18,
171.20176,24.45803,0.3,9,11.19,50.2,61.5,28,33,
185.52198,45.30311,0.251,0.26452,20.79,26.19,52.9,67.2,23,24
227.9609,14.85126,0.192,11.16,13.47,74.1,90.4,31,37,
190.28609,27.57973,0.208,12.02,14.75,57.8,70.6,30,35,
201.94482,52.61393,0.292,9.6,11.77,67.6,83,33,42,
216.64485,32.20549,0.267,12.19,14.43,77,92.7,29,34,
217.68859,20.4285,0.273,15.1,18.65,53.9,65.1,24,26,
53.47833,-7.38445,0.2,11.23,14.01,53.5,65.6,27,28,
119.02946,38.56697,0.227,0.21556,10.64,12.89,125.4,153.9,43,72
325.96022,-7.38053,0.211,0.1994,12.17,15.01,46.9,58.2,23,24
